model,fold,correlation,rmse,n_train,n_test
rrBLUP,1,-0.0945,1.2875,234,59
rrBLUP,2,0.1448,1.1224,234,59
rrBLUP,3,0.0391,1.2898,234,59
rrBLUP,4,-0.1827,1.2729,235,58
rrBLUP,5,-0.2503,1.1151,235,58
LASSO,1,0.6123,0.9843,234,59
LASSO,2,0.7391,0.7954,234,59
LASSO,3,0.6883,0.9459,234,59
LASSO,4,0.6508,0.9214,235,58
LASSO,5,0.6183,0.8134,235,58
ElasticNet,1,0.4445,1.1025,234,59
ElasticNet,2,0.6789,0.8442,234,59
ElasticNet,3,0.6513,0.9748,234,59
ElasticNet,4,0.5808,0.9703,235,58
ElasticNet,5,0.5203,0.878,235,58
